,Job Title,Location,Size,Type of ownership,Industry,Sector,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel,job_simp,seniority
0,Data Scientist,"Albuquerque, NM",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,53,91,72,NM,1,0,0,0,1,data scientist,na
1,Healthcare Data Scientist,"Linthicum, MD",10000+ employees,Other Organization,Health Care Services & Hospitals,Health Care,0,0,63,112,87.5,MD,1,0,0,0,0,data scientist,na
2,Data Scientist,"Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,0,0,80,90,85,FL,1,0,1,0,1,data scientist,na
3,Data Scientist,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,56,97,76.5,WA,1,0,0,0,0,data scientist,na
4,Data Scientist,"New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,0,0,86,143,114.5,NY,1,0,0,0,1,data scientist,na
5,Data Scientist,"Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,0,0,71,119,95,TX,1,0,0,1,1,data scientist,na
6,Data Scientist,"Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,0,0,54,93,73.5,MD,0,0,0,0,1,data scientist,na
7,Data Scientist,"San Jose, CA",201 to 500 employees,Company - Private,Consulting,Business Services,0,0,86,142,114,CA,1,0,1,1,1,data scientist,na
8,Research Scientist,"Rochester, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,0,0,38,84,61,NY,0,0,0,0,0,na,na
9,Data Scientist,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,0,0,120,160,140,NY,1,0,1,0,0,data scientist,na
10,Data Scientist,"San Jose, CA",501 to 1000 employees,Company - Private,Other Retail Stores,Retail,0,0,,201,163.5,CA,1,0,0,0,0,data scientist,na
11,Data Scientist,"Chantilly, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,0,0,64,106,85,VA,0,0,,0,0,data scientist,na
12,Staff Data Scientist - Technology,"Plano, TX",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,0,0,106,172,139,TX,0,0,0,0,0,data scientist,na
13,Data Analyst,"Seattle, WA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,0,0,46,85,65.5,WA,1,0,1,1,1,analyst,na
14,Data Scientist,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,83,144,113.5,MA,1,0,1,0,0,data scientist,na
15,Data Engineer I,"Newark, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,0,0,102,190,146,NJ,0,0,0,0,1,data engineer,na
16,"Scientist I/II, Biology","Cambridge, MA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,67,137,102,MA,0,0,0,0,1,na,na
17,Customer Data Scientist,"Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,118,189,153.5,CA,1,0,1,1,1,data scientist,na
18,Data Scientist - Health Data Analytics,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,110,175,142.5,CA,0,0,0,0,0,data scientist,na
19,Data Scientist,"Denver, CO",501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance,0,0,64,111,87.5,CO,1,0,0,0,1,data scientist,na
20,Data Scientist,"Seattle, WA",201 to 500 employees,Company - Private,Internet,Information Technology,0,0,81,130,105.5,WA,1,0,1,0,0,data scientist,na
21,Senior Data Scientist / Machine Learning,"Dallas, TX",201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,0,0,73,119,96,TX,0,0,0,0,1,data scientist,senior
22,Data Scientist - Quantitative,"Chicago, IL",501 to 1000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,0,0,86,139,112.5,IL,1,0,0,1,1,data scientist,na
23,Data Scientist,"Louisville, KY",51 to 200 employees,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,0,0,63,105,84,KY,1,0,0,0,1,data scientist,na
24,Data Scientist,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,109,177,143,VA,1,0,0,1,0,data scientist,na
